# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ACS1	YAL054C	YAL054C_mRNA	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
ACS2	YLR153C	YLR153C_mRNA	protein_coding	1	1	1	20	0	0	0	0	11	1	0	1	0	0	0	0	0	0	0	1	9
ACT1	YFL039C	YFL039C_mRNA	protein_coding	1	0	1	5	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	4
ADA2	YDR448W	YDR448W_mRNA	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ADD37	YMR184W	YMR184W_mRNA	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2
ADD66	YKL206C	YKL206C_mRNA	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ADE1	YAR015W	YAR015W_mRNA	protein_coding	0	1	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1
ADE12	YNL220W	YNL220W_mRNA	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADE13	YLR359W	YLR359W_mRNA	protein_coding	0	3	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	7
ADE16	YLR028C	YLR028C_mRNA	protein_coding	0	4	3	71	0	0	0	0	29	0	0	3	0	0	1	0	0	0	1	3	42
ADE17	YMR120C	YMR120C_mRNA	protein_coding	0	1	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0
ADE2	YOR128C	YOR128C_mRNA	protein_coding	1	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
ADE3	YGR204W	YGR204W_mRNA	protein_coding	0	1	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2
ADE4	YMR300C	YMR300C_mRNA	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2
ADE5,7	YGL234W	YGL234W_mRNA	protein_coding	0	0	0	27	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	23
ADE6	YGR061C	YGR061C_mRNA	protein_coding	0	2	1	7	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	5
ADE8	YDR408C	YDR408C_mRNA	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ADF1	YCL058W-A	YCL058W-A_mRNA	protein_coding	0	0	0	91	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	53
ADH1	YOL086C	YOL086C_mRNA	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
ADH2	YMR303C	YMR303C_mRNA	protein_coding	0	0	1	4	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3
ADH3	YMR083W	YMR083W_mRNA	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ADH4	YGL256W	YGL256W_mRNA	protein_coding	0	0	1	44	0	0	0	0	34	0	0	1	0	0	0	0	0	0	0	0	10
ADH5	YBR145W	YBR145W_mRNA	protein_coding	0	0	1	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1
ADH6	YMR318C	YMR318C_mRNA	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ADH7	YCR105W	YCR105W_mRNA	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
ADI1	YMR009W	YMR009W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ADK1	YDR226W	YDR226W_mRNA	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ADK2	YER170W	YER170W_mRNA	protein_coding	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4
ADO1	YJR105W	YJR105W_mRNA	protein_coding	0	0	1	5	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	3
ADP1	YCR011C	YCR011C_mRNA	protein_coding	1	0	0	4	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2
ADR1	YDR216W	YDR216W_mRNA	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ADY2	YCR010C	YCR010C_mRNA	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2
ADY3	YDL239C	YDL239C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADY4	YLR227C	YLR227C_mRNA	protein_coding	0	2	4	43	0	0	0	0	34	0	0	4	0	0	0	0	0	0	0	2	9
AEP1	YMR064W	YMR064W_mRNA	protein_coding	0	0	1	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1
AEP2	YMR282C	YMR282C_mRNA	protein_coding	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
AEP3	YPL005W	YPL005W_mRNA	protein_coding	0	0	1	4	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2
AFB1	YLR040C	YLR040C_mRNA	protein_coding	0	3	3	53	0	0	0	0	29	0	0	3	0	0	0	0	0	0	0	3	24
AFG1	YEL052W	YEL052W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFG2	YLR397C	YLR397C_mRNA	protein_coding	1	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
AFG3	YER017C	YER017C_mRNA	protein_coding	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
AFI1	YOR129C	YOR129C_mRNA	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AFR1	YDR085C	YDR085C_mRNA	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4
AFT1	YGL071W	YGL071W_mRNA	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
AFT2	YPL202C	YPL202C_mRNA	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
AGA1	YNR044W	YNR044W_mRNA	protein_coding	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AGA2	YGL032C	YGL032C_mRNA	protein_coding	1	0	0	22	0	0	0	0	21	0	0	0	0	0	1	0	0	1	0	0	1
AGC1	YPR021C	YPR021C_mRNA	protein_coding	0	0	1	3	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0
AGE1	YDR524C	YDR524C_mRNA	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
AGE2	YIL044C	YIL044C_mRNA	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
AGP1	YCL025C	YCL025C_mRNA	protein_coding	1	0	2	12	0	0	0	0	10	1	0	2	0	0	0	0	0	0	0	0	2
AGP2	YBR132C	YBR132C_mRNA	protein_coding	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
AGP3	YFL055W	YFL055W_mRNA	protein_coding	1	11	5	80	0	0	0	0	60	1	0	5	0	0	0	0	0	0	0	11	20
AGX1	YFL030W	YFL030W_mRNA	protein_coding	0	0	1	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
AHC1	YOR023C	YOR023C_mRNA	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1
AHC2	YCR082W	YCR082W_mRNA	protein_coding	0	0	1	7	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	3
AHK1	YDL073W	YDL073W_mRNA	protein_coding	2	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1
AHP1	YLR109W	YLR109W_mRNA	protein_coding	0	0	0	31	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	2
AHT1	YHR093W	YHR093W_mRNA	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
AI1	Q0050	Q0050_mRNA	protein_coding	0	0	3	20	0	0	0	0	11	0	0	3	0	0	0	0	0	0	0	0	9
AI2	Q0055	Q0055_mRNA	protein_coding	0	0	1	26	0	0	0	0	14	0	3	1	0	0	0	0	0	0	0	0	9
AI3	Q0060	Q0060_mRNA	protein_coding	1	0	3	27	0	0	0	0	14	0	4	3	0	0	0	0	1	0	0	0	9
AI4	Q0065	Q0065_mRNA	protein_coding	0	0	2	31	0	0	0	0	9	0	13	2	0	0	0	0	0	0	0	0	9
AI5_ALPHA	Q0070	Q0070_mRNA	protein_coding	0	1	3	34	0	0	0	0	11	0	14	3	0	0	0	0	0	0	0	1	9
AI5_BETA	Q0075	Q0075_mRNA	protein_coding	1	0	3	20	0	0	0	0	6	1	0	3	0	0	0	0	0	0	0	0	14
AIF1	YNR074C	YNR074C_mRNA	protein_coding	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8
AIM10	YER087W	YER087W_mRNA	protein_coding	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
AIM11	YER093C-A	YER093C-A_mRNA	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3
AIM14	YGL160W	YGL160W_mRNA	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
AIM17	YHL021C	YHL021C_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AIM18	YHR198C	YHR198C_mRNA	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3
AIM19	YIL087C	YIL087C_mRNA	protein_coding	1	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	1
AIM2	YAL049C	YAL049C_mRNA	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3
AIM20	YIL158W	YIL158W_mRNA	protein_coding	1	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
AIM21	YIR003W	YIR003W_mRNA	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
AIM22	YJL046W	YJL046W_mRNA	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2
AIM23	YJL131C	YJL131C_mRNA	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
AIM24	YJR080C	YJR080C_mRNA	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AIM25	YJR100C	YJR100C_mRNA	protein_coding	0	0	1	4	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2
AIM26	YKL037W	YKL037W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AIM29	YKR074W	YKR074W_mRNA	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4
AIM3	YBR108W	YBR108W_mRNA	protein_coding	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
AIM32	YML050W	YML050W_mRNA	protein_coding	0	5	0	56	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	5	27
AIM33	YML087C	YML087C_mRNA	protein_coding	0	6	1	82	0	0	0	0	46	0	0	1	0	0	0	0	0	0	0	6	36
AIM36	YMR157C	YMR157C_mRNA	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AIM39	YOL053W	YOL053W_mRNA	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AIM4	YBR194W	YBR194W_mRNA	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
AIM41	YOR215C	YOR215C_mRNA	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
AIM44	YPL158C	YPL158C_mRNA	protein_coding	0	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
AIM45	YPR004C	YPR004C_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AIM46	YHR199C	YHR199C_mRNA	protein_coding	0	0	1	6	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	2
AIM6	YDL237W	YDL237W_mRNA	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
AIM7	YDR063W	YDR063W_mRNA	protein_coding	0	0	0	10	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1
AIM9	YER080W	YER080W_mRNA	protein_coding	1	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2
AIP1	YMR092C	YMR092C_mRNA	protein_coding	1	0	1	7	0	0	0	0	6	0	0	1	0	0	0	0	1	0	0	0	1
AIR1	YIL079C	YIL079C_mRNA	protein_coding	1	0	0	9	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	1
AIR2	YDL175C	YDL175C_mRNA	protein_coding	1	0	0	6	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	4
AKL1	YBR059C	YBR059C_mRNA	protein_coding	2	10	3	66	0	0	0	0	16	2	0	3	0	0	0	0	0	0	0	10	50
AKR1	YDR264C	YDR264C_mRNA	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AKR2	YOR034C	YOR034C_mRNA	protein_coding	0	0	1	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
ALA1	YOR335C	YOR335C_mRNA	protein_coding	0	7	3	53	0	0	0	0	25	0	0	3	0	0	0	0	0	0	0	7	28
ALB1	YJL122W	YJL122W_mRNA	protein_coding	1	0	0	5	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	3
ALD2	YMR170C	YMR170C_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ALD3	YMR169C	YMR169C_mRNA	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2
ALD4	YOR374W	YOR374W_mRNA	protein_coding	0	0	1	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2
ALD5	YER073W	YER073W_mRNA	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
ALD6	YPL061W	YPL061W_mRNA	protein_coding	1	0	0	6	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5
ALE1	YOR175C	YOR175C_mRNA	protein_coding	1	0	0	4	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2
ALF1	YNL148C	YNL148C_mRNA	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2
ALG1	YBR110W	YBR110W_mRNA	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ALG11	YNL048W	YNL048W_mRNA	protein_coding	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1
ALG12	YNR030W	YNR030W_mRNA	protein_coding	0	0	1	9	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	3
ALG13	YGL047W	YGL047W_mRNA	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4
ALG14	YBR070C	YBR070C_mRNA	protein_coding	0	3	2	53	0	0	0	0	29	0	0	2	0	0	0	0	0	0	0	3	24
ALG2	YGL065C	YGL065C_mRNA	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
ALG3	YBL082C	YBL082C_mRNA	protein_coding	1	0	0	5	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4
ALG5	YPL227C	YPL227C_mRNA	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
ALG6	YOR002W	YOR002W_mRNA	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ALG7	YBR243C	YBR243C_mRNA	protein_coding	1	0	0	10	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0
ALG8	YOR067C	YOR067C_mRNA	protein_coding	0	3	2	12	0	0	0	0	9	0	0	2	0	0	0	0	0	0	0	3	3
ALG9	YNL219C	YNL219C_mRNA	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ALK1	YGL021W	YGL021W_mRNA	protein_coding	0	1	0	8	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	3
ALK2	YBL009W	YBL009W_mRNA	protein_coding	0	3	0	56	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	3	27
ALO1	YML086C	YML086C_mRNA	protein_coding	1	5	0	83	0	0	0	0	47	1	0	0	0	0	0	0	0	0	0	5	36
ALP1	YNL270C	YNL270C_mRNA	protein_coding	1	0	2	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2
ALR1	YOL130W	YOL130W_mRNA	protein_coding	0	0	0	11	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	5
ALR2	YFL050C	YFL050C_mRNA	protein_coding	0	0	2	10	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0	0	2
ALT1	YLR089C	YLR089C_mRNA	protein_coding	1	8	2	81	0	0	0	0	36	1	0	2	0	0	0	0	0	0	0	8	45
ALT2	YDR111C	YDR111C_mRNA	protein_coding	0	2	1	16	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	2	12
ALY1	YKR021W	YKR021W_mRNA	protein_coding	1	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	1
ALY2	YJL084C	YJL084C_mRNA	protein_coding	0	0	1	4	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0
AMA1	YGR225W	YGR225W_mRNA	protein_coding	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AMD1	YML035C	YML035C_mRNA	protein_coding	1	8	1	35	0	0	0	0	6	0	0	1	0	0	0	0	1	0	0	8	29
AMD2	YDR242W	YDR242W_mRNA	protein_coding	0	1	1	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	5
AME1	YBR211C	YBR211C_mRNA	protein_coding	0	4	1	62	0	0	0	0	36	0	0	1	0	0	0	0	0	0	0	4	26
AMF1	YOR378W	YOR378W_mRNA	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
AMN1	YBR158W	YBR158W_mRNA	protein_coding	0	0	0	8	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5
AMS1	YGL156W	YGL156W_mRNA	protein_coding	2	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1
ANB1	YJR047C	YJR047C_mRNA	protein_coding	0	0	1	34	1	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	3
ANP1	YEL036C	YEL036C_mRNA	protein_coding	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4
ANR2	YKL047W	YKL047W_mRNA	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
ANS1	YHR126C	YHR126C_mRNA	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ANT1	YPR128C	YPR128C_mRNA	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
ANY1	YMR010W	YMR010W_mRNA	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AOS1	YPR180W	YPR180W_mRNA	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
APA1	YCL050C	YCL050C_mRNA	protein_coding	0	4	2	78	0	0	0	0	34	0	0	2	0	0	0	0	0	0	0	4	44
APA2	YDR530C	YDR530C_mRNA	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
APC1	YNL172W	YNL172W_mRNA	protein_coding	1	0	1	4	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0
APC11	YDL008W	YDL008W_mRNA	protein_coding	1	0	1	4	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	2
APC2	YLR127C	YLR127C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
APC4	YDR118W	YDR118W_mRNA	protein_coding	1	0	1	22	0	0	0	0	12	1	0	1	0	0	0	0	0	0	0	0	10
APC5	YOR249C	YOR249C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
APC9	YLR102C	YLR102C_mRNA	protein_coding	0	1	0	19	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	1	2
APD1	YBR151W	YBR151W_mRNA	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
APE2	YKL157W	YKL157W_mRNA	protein_coding	1	1	1	6	0	0	0	0	5	1	0	1	0	0	0	0	0	0	0	1	1
